,0,1,2,3,4,5,6,7,8,9,10
ECOG_RIGHT_stft_low gamma,-0.2001532114755153,-0.1584678819547491,-0.05768904131782343,-0.15191053559912593,-0.10408694578520905,-0.06257721024734159,-0.11598503751635164,-0.02721188805510394,-0.05096368276058438,-0.11322849432526083,-0.07716021286831753
ECOG_RIGHT_stft_high gamma,-0.19886842231533147,-0.1656962235024867,-0.05431135410906418,-0.1673823758896601,-0.10646862389681166,-0.07421727626857388,-0.10911963906319039,-0.03880846161176238,-0.051789121737019994,-0.11468803366017333,-0.09342780271618334
ECOG_RIGHT_stft_HFA,-0.167289718911578,-0.16076778705914813,-0.11891379942504365,-0.1337826269332386,-0.10308042762204267,-0.07118036688741247,-0.10613095222892965,-0.04886310371313368,-0.0442340853630141,-0.1182200626659905,-0.08828696262037206
ECOG_LEFT_fft_low beta,-0.16844129574781813,-0.1598807572837173,-0.11795073764028113,-0.13325577890386053,-0.10464988716886575,-0.07152192781906141,-0.10875253180377736,-0.04348123750961341,-0.04510768636690399,-0.11859782263744018,-0.09032787363057243
ECOG_LEFT_fft_high beta,-0.21451781205816384,-0.17802271166849715,-0.12709731946648967,-0.11763666095540304,-0.09822104219381006,-0.06917464545119772,-0.12742264392038588,-0.044091258638795094,-0.05330890484520845,-0.1374866734012018,-0.10103552267652821
ECOG_LEFT_fft_low gamma,-0.2220902992117062,-0.1814667719326607,-0.13251502356138534,-0.117997702129365,-0.09126390240146504,-0.06936981361172334,-0.13427699106489865,-0.04246936829763481,-0.05872929437439589,-0.135821894448664,-0.09765727198271862
ECOG_LEFT_fft_high gamma,-0.22850835826388194,-0.18058552055060823,-0.16221100351946915,-0.12293816940567559,-0.09838020766605665,-0.08897254014777406,-0.1318899752721206,-0.0355527432627768,-0.07791950128557823,-0.14951995434507764,-0.10475340514643616
ECOG_LEFT_fft_HFA,-0.2231515768169804,-0.17093720730416023,-0.14391215917068617,-0.11874246139262756,-0.110296140442042,-0.08057351864295564,-0.12309083638562074,-0.04581590138968872,-0.06796409083515587,-0.12528995677808047,-0.10688655629013238
ECOG_RIGHT_fft_low beta,-0.22609228433567247,-0.1713597024760634,-0.14846666424748706,-0.1251052580056662,-0.11597726144009979,-0.08227930163231673,-0.12458424836476473,-0.038709505402937994,-0.06882952725666935,-0.1253670754825088,-0.10550129154423682
ECOG_RIGHT_fft_high beta,-0.24650168814076173,-0.17519148771918008,-0.1460263737565589,-0.09851711433971722,-0.11567285280740397,-0.07587621305599845,-0.1284318189526482,-0.040307338275278326,-0.06988062973403131,-0.12819395517046356,-0.11347005759057749
ECOG_RIGHT_fft_low gamma,-0.2396011771982277,-0.1737504212672522,-0.09783345670539373,-0.08400096060767992,-0.10594665282938814,-0.09502597061778123,-0.14157031612058302,-0.031590850222943945,-0.07513226630436787,-0.126291293835477,-0.11780204037708897
